monarchrunid,monarchlocationid,behaviorclassification,duration,locationn,locatione,surface,landcoverclassification
17151a,17151a03,rest,0:01:30,4668640.316,613144.909,grass,sod
17153a,17153a01,release,0:01:00,4668649.344,613158.219,vegetative wild bergamot,sod
17153a,17153a02,fly,0:01:00,na,na,air,na
17153a,17153a03,rest,0:00:01,4668489.543,612962.723,corn,corn
17153a,17153a04,fly,0:00:30,na,na,air,na
17153a,17153a05,fly,0:00:01,4668497.674,612973.908,air,roadside
17154a,17154a01,release,0:00:45,4668620.538,613123.015,vegetative wild bergamot,sod
17154a,17154a02,fly,0:07:00,na,na,air,na
17154a,17154a03,fly,0:00:01,4668486.471,612492.597,air - lost,corn
17159a,17159a01,release,0:01:00,4668649.344,613158.219,vegetative wild bergamot,sod
17159a,17159a02,fly,0:00:03,na,na,air,sod
17159a,17159a03,rest,0:01:00,4668650.477,613154.769,grass,sod
17159a,17159a04,fly,0:00:03,na,na,air,sod
17159a,17159a05,rest,0:01:00,4668646.74,613152.891,grass,sod
17159a,17159a06,fly,0:00:03,na,na,air,sod
17159a,17159a07,rest,0:00:10,4668649.707,613146.851,grass,sod
17159a,17159a08,fly,0:00:15,na,na,air,sod
17159a,17159a09,fly,0:00:01,4668651.498,613137.914,grass,sod
17159a,17159a10,fly,0:00:15,na,na,air,sod
17159a,17159a11,fly,0:00:01,4668655.911,613128.786,grass,sod
17159a,17159a12,fly,0:00:15,na,na,air,sod
17159a,17159a13,rest,0:03:00,4668657.259,613126.163,grass,sod
17159b,17159b01,release,0:01:00,4668649.344,613158.219,vegetative wild bergamot,sod
17159b,17159b02,fly,0:01:00,na,na,air,sod
17159b,17159b03,rest,0:00:01,4668643.069,613149.253,grass,sod
17160a,17160a01,release,0:10:00,4668649.344,613158.219,vegetative wild bergamot,sod
17161a,17161a01,release,0:12:00,4668649.344,613158.219,vegetative wild bergamot,sod
17164a,17164a01,release,0:06:00,4668636.534,613142.648,vegetative wild bergamot,sod
17164a,17164a02,fly,0:00:03,na,na,air,sod
17164a,17164a03,rest,0:04:00,4668619.866,613125.792,grass,sod
17166a,17166a01,release,0:01:30,4668649.344,613158.219,vegetative wild bergamot,sod
17166a,17166a02,fly,0:00:03,na,na,air,sod
17166a,17166a03,fly,0:00:01,4668647.987,613156.22,air,sod
17171a,17171a01,release,0:01:17,4668650.733,613168.523,vegetative wild bergamot,sod
17171a,17171a02,fly,0:02:00,na,na,air,sod
17171a,17171a03,fly,0:00:01,4668775.936,613253.048,air,sod
