monarchrunid,monarchlocationid,uniqueid,order,behaviorclassification,date,time,datetime,duration,locationn,locatione,surface,landcoverclassification,steplength,bearing
17144a,17144a01,98,1,release,7/27/2017,10:56,2017-07-20t11:01:38,0:01:00,4662561.96,451812.8,vegetative wild bergamot,sod,1.089311709,133.51213247000
17144a,17144a02,99,2,rest,7/27/2017,10:56,2017-07-20t11:01:39,0:04:00,4662561.21,451813.59,grass,sod,3.992054608,175.54625548800
17144a,17144a03,100,3,rest,7/27/2017,10:56,2017-07-20t11:01:40,0:00:01,4662557.23,451813.9,grass,sod,,
17144b,17144b01,101,1,release,7/27/2017,11:03,2017-07-20t11:01:41,0:01:00,4662561.96,451812.8,vegetative wild bergamot,sod,3.002215849,200.06463147800
17144b,17144b02,102,2,rest,7/27/2017,11:03,2017-07-20t11:01:42,0:00:01,4662559.14,451811.77,grass,sod,,
17145a,17145a01,103,1,release,7/28/2017,10:03,2017-07-20t11:01:43,0:16:00,4662561.73,451812.79,vegetative wild bergamot,sod,,
17146a,17145a02,104,2,release,7/27/2017,11:14,2017-07-20t11:01:44,0:00:10,4662542.45,451812.72,vegetative wild bergamot,sod,47.61953591,219.37575681900
17146a,17145a03,105,3,rest,7/27/2017,11:14,2017-07-20t11:01:45,0:00:01,4662505.64,451782.51,grass,sod,,
17146b,17146b01,106,1,release,7/27/2017,11:17,2017-07-20t11:01:46,0:00:10,4662542.45,451812.72,vegetative wild bergamot,sod,21.68769236,104.25409709300
17146b,17146b02,107,2,grass,7/27/2017,11:17,2017-07-20t11:01:47,0:00:01,4662537.11,451833.74,grass,sod,,
17149a,17149a01,108,1,release,7/27/2017,9:50,2017-07-20t11:01:48,0:00:10,4662517.17,451811.05,vegetative wild bergamot,sod,13.82434085,195.52411099600
17149a,17149a02,109,2,rest,7/27/2017,9:50,2017-07-20t11:01:49,0:01:30,4662503.85,451807.35,grass,sod,92.84104103,311.34499745500
17149a,17149a03,110,3,fly,7/27/2017,9:50,2017-07-20t11:01:50,0:00:01,4662565.18,451737.65,air,sod,,
17150a,17150a01,111,1,release,7/28/2017,8:49,2017-07-20t11:01:51,0:00:10,4662542.4,451812.77,vegetative wild bergamot,sod,2.715326868,326.71959909000
17150a,17150a02,112,2,rest,7/28/2017,8:49,2017-07-20t11:01:52,0:00:10,4662544.67,451811.28,grass,sod,4.022747817,175.43743681000
17150a,17150a03,113,3,rest,7/28/2017,8:49,2017-07-20t11:01:53,0:00:10,4662540.66,451811.6,grass,sod,5.527675823,243.80579011000
17150a,17150a04,114,4,rest,7/28/2017,8:49,2017-07-20t11:01:54,0:00:10,4662538.22,451806.64,grass,sod,16.2987883,300.24631557500
17150a,17150a05,115,5,rest,7/28/2017,8:49,2017-07-20t11:01:55,0:00:01,4662546.43,451792.56,grass,sod,,
17151a,17151a01,116,1,release,7/29/2017,1:22,2017-07-20t11:01:56,0:00:10,4668649.34,613158.22,vegetative wild bergamot,sod,16.07844831,235.87505824900
17151a,17151a02,117,2,rest,7/29/2017,1:22,2017-07-20t11:01:57,0:01:30,4668640.32,613144.91,grass,sod,,
17153a,17153a01,118,1,release,7/29/2017,1:38,2017-07-20t11:01:58,0:01:00,4668649.34,613158.22,vegetative wild bergamot,sod,252.5000792,230.73773467000
17153a,17153a02,119,2,rest,7/29/2017,1:38,2017-07-20t11:01:59,0:00:01,4668489.54,612962.72,corn,corn,13.83159427,54.00003649030
17153a,17153a03,120,3,fly,7/29/2017,1:38,2017-07-20t11:02:00,0:00:01,4668497.67,612973.91,air,roadside,,
17154a,17154a01,121,1,release,7/29/2017,10:50,2017-07-20t11:02:01,0:00:45,4668620.54,613123.02,vegetative wild bergamot,sod,644.5185345,257.99390515700
17154a,17154a02,122,2,fly,7/29/2017,10:50,2017-07-20t11:02:02,0:00:01,4668486.47,612492.6,air  lost,corn,,
17159a,17159a01,123,1,release,7/29/2017,10:13,2017-07-20t11:02:03,0:01:00,4668649.34,613158.22,vegetative wild bergamot,sod,3.633469417,288.28535183600
17159a,17159a02,124,2,rest,7/29/2017,10:13,2017-07-20t11:02:04,0:01:00,4668650.48,613154.77,grass,sod,4.18592881,206.68747786900
17159a,17159a03,125,3,rest,7/29/2017,10:13,2017-07-20t11:02:05,0:01:00,4668646.74,613152.89,grass,sod,6.730713187,296.18435392400
17159a,17159a04,126,4,rest,7/29/2017,10:13,2017-07-20t11:02:06,0:00:10,4668649.71,613146.85,grass,sod,22.02449999,290.04756119000
17159a,17159a07,129,7,rest,7/29/2017,10:13,2017-07-20t11:02:09,0:03:00,4668657.26,613126.16,grass,sod,,
17159b,17159b01,130,1,release,7/29/2017,10:21,2017-07-20t11:02:10,0:01:00,4668649.34,613158.22,vegetative wild bergamot,sod,10.94412171,235.04658014300
17159b,17159b02,131,2,rest,7/29/2017,10:21,2017-07-20t11:02:11,0:00:01,4668643.07,613149.25,grass,sod,,
17160a,17160a01,132,1,release,7/29/2017,9:53,2017-07-20t11:02:12,0:10:00,4668649.34,613158.22,vegetative wild bergamot,sod,,
17161a,17160a02,133,2,release,7/29/2017,2:07,2017-07-20t11:02:13,0:12:00,4668649.34,613158.22,vegetative wild bergamot,sod,,
17164a,17164a01,134,1,release,7/29/2017,10:31,2017-07-20t11:02:14,0:06:00,4668636.53,613142.65,vegetative wild bergamot,sod,23.7026412,225.34185620300
17164a,17164a02,135,2,rest,7/29/2017,10:31,2017-07-20t11:02:15,0:04:00,4668619.87,613125.79,grass,sod,,
17166a,17166a01,136,1,release,7/29/2017,1:56,2017-07-20t11:02:16,0:01:30,4668649.34,613158.22,vegetative wild bergamot,sod,2.412985702,235.98065001800
17166a,17166a02,137,2,fly,7/29/2017,1:56,2017-07-20t11:02:17,0:00:01,4668647.99,613156.22,air,sod,,
